Geneid	/home/jvtars/ipe/bam_files/SRR11144483.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144484.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144485.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144486.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144481.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144482.sorted.bam
CDL12_00528	0	0	2	0	0	0
CDL12_00529	149	421	1441	0	43	0
CDL12_00530	80	62	83	0	54	2
CDL12_00531	138	175	200	0	1284	249
CDL12_00532	200	236	724	1744	1336	2384
CDL12_00533	0	0	0	0	4	7
CDL12_00534	634	752	1313	71	381	68
CDL12_00535	0	0	0	0	0	0
CDL12_00536	937	819	793	795	2399	1615
CDL12_00537	78	71	10	21	22	24
CDL12_00538	6	27	4	8	2	8
CDL12_00539	182	56	22	213	19	613
CDL12_00540	361	408	598	503	704	1768
CDL12_00541	82	46	849	23	37	129
CDL12_00542	802	1689	769	1150	2831	191
CDL12_00543	0	0	0	0	0	0
CDL12_00544	0	0	0	0	0	0
CDL12_00545	1430	2096	1538	1523	3367	2727
CDL12_00546	4176	2106	5115	3726	8647	3201
CDL12_00547	580	420	656	364	964	302
CDL12_00548	2375	1670	4617	2447	7163	1873
CDL12_00549	98	236	102	97	174	136
CDL12_00550	235	43	116	92	414	51
CDL12_00551	122	114	38	251	378	42
CDL12_00552	123	7	15	547	9	18
CDL12_00553	95	14	1	295	93	7
CDL12_00554	77	28	10	115	30	25
CDL12_00555	244	439	361	564	1123	624
CDL12_00556	83	97	112	116	70	298
CDL12_00557	3869	4142	2579	2762	12113	4234
CDL12_00558	305	231	299	537	523	416
CDL12_00559	391	74	193	267	144	313
CDL12_00560	352	88	490	1254	308	2659
CDL12_00561	1254	1363	1959	1647	2912	1714
CDL12_00562	0	0	13	6	12	286
CDL12_00563	348	439	1335	487	563	758
CDL12_00564	437	432	626	161	686	187
CDL12_00565	0	0	0	0	0	0
CDL12_00566	0	0	0	0	6	0
CDL12_00567	0	0	0	0	0	0
CDL12_00568	506	354	567	656	425	420
CDL12_00569	0	0	0	0	0	0
CDL12_00570	161	266	987	15	415	17
CDL12_00571	648	567	1834	1362	4643	1189
CDL12_00572	0	0	0	0	0	0
CDL12_00573	33	76	88	14	31	370
CDL12_00574	0	0	0	0	0	0
CDL12_00575	0	0	0	0	0	0
CDL12_00576	0	0	0	0	0	0
CDL12_00577	0	0	0	0	0	4
CDL12_00578	333	396	513	462	718	963
CDL12_00579	0	0	0	0	0	2
CDL12_00581	0	0	0	0	0	0
CDL12_00582	0	4	5	0	0	4
CDL12_00583	0	0	0	0	0	2
CDL12_00584	2215	1	0	2867	10	7
CDL12_00585	0	0	0	0	0	0
CDL12_00586	267	0	0	119	0	0
CDL12_00587	667	10	9	1479	3	90
CDL12_00588	0	16	0	0	0	0
CDL12_00589	0	7	2	5	0	0
CDL12_00590	0	0	0	0	0	0
CDL12_00591	10	2	0	4	0	17
CDL12_00592	0	2	1	0	0	50
CDL12_00593	0	37	0	0	0	0
CDL12_00594	0	0	0	0	0	0
CDL12_00595	115	192	33	248	114	29
CDL12_00596	1050	2196	1986	2447	5576	3185
CDL12_00597	217	286	383	62	1803	538
CDL12_00598	402	882	381	495	843	872
CDL12_00599	0	7	4	16	12	4
CDL12_00600	17201	19358	17419	25338	73311	24875
CDL12_00601	352	437	366	289	424	401
CDL12_00602	47	56	27	3	8	10
CDL12_00603	1	2	247	0	11	0
CDL12_00604	0	0	0	0	0	0
CDL12_00605	0	0	0	0	0	0
CDL12_00606	0	0	0	0	0	0
CDL12_00607	352	513	584	2160	836	1026
CDL12_00608	6	0	0	311	8	0
CDL12_00609	98	225	278	202	469	215
CDL12_00610	47	188	5	365	81	52
CDL12_00611	240	761	13	872	418	174
CDL12_00612	144	105	281	239	998	856
CDL12_00613	11	25	8	0	0	0
CDL12_00614	100	129	112	89	97	91
CDL12_00615	10	13	11	10	6	20
CDL12_00616	4403	3266	5191	3112	8714	2583
CDL12_00617	468	170	432	386	554	769
CDL12_00618	164	182	163	30	77	10
CDL12_00619	17	15	80	12	254	10
CDL12_00620	72	39	104	85	590	29
CDL12_00621	2	5	18	4	7	1
CDL12_00622	374	209	328	33	473	550
CDL12_00623	49	58	52	61	70	164
